الإجماليالكلي;Total;TOT
إجماليمؤسساتالتعليمالعاليالأخرى;Total Other Institutions of Higher Education;TOTOTHINSHIGEDU
إجماليالجامعاتالحكومية;Total Public Universities;TOTPUBUNI
المؤسسةالعامةللتدريبالتقنيوالمهني;Technical And Vocational Training Corporation;TECANDVOCTRACOR
إجماليمؤسساتالتعليمالعاليفيالمملكة;Total Higher Education Institutions In the Kingdom;TOTHIGEDUINSINKIN
إجماليالجامعاتوالكلياتالأهلية;Total Private Universities And Colleges;TOTPRIUNIANDCOL
جامعةالباحة;Al Baha University;ALBAHUNI
جامعةالباحةبكالوريوس;Al Baha University;ALBAHUNI
جامعةالباحةدبلوممتوسط;Al Baha University;ALBAHUNI
جامعةالباحةدراساتعليا;Al Baha University;ALBAHUNI
جامعةالفيصل;Al Faisal University;ALFAIUNI
جامعةالفيصلبكالوريوس;Al Faisal University;ALFAIUNI
جامعةالفيصلدراساتعليا;Al Faisal University;ALFAIUNI
جامعةالجوف;Al Jawf University;ALJAWUNI
جامعةالجوفبكالوريوس;Al Jawf University;ALJAWUNI
جامعةالجوفدبلوممتوسط;Al Jawf University;ALJAWUNI
جامعةالمجمعة;Al Majma'ah University;ALMAJAHUNI
جامعةالمجمعةبكالوريوس;Al Majma'ah University;ALMAJAHUNI
جامعةالمجمعةدبلوممتوسط;Al Majma'ah University;ALMAJAHUNI
جامعةاليمامة;Al Yamamah University;ALYAMUNI
جامعةاليمامةبكالوريوس;Al Yamamah University;ALYAMUNI
جامعةاليمامةدراساتعليا;Al Yamamah University;ALYAMUNI
كلياتالغدالدوليةللعلومالصحية;Al-ghad International Colleges For Health Sciences;ALGHAINTCOLFORHEASCI
كلياتالغدالدوليةللعلومالطبيةالتطبيقيةبكالوريوس;Al-ghad International Colleges For Health Sciences;ALGHAINTCOLFORHEASCI
كليةالريادةللعلومالصحيةالأهلية;Al-riyada College For Health Sciences;ALRIYCOLFORHEASCI
كليةالريادةللعلومالصحيةالأهليةبكالوريوس;Al-riyada College For Health Sciences;ALRIYCOLFORHEASCI
كليةالفارابيلطبالأسنانوالتمريض;Alfarabi Colleges;ALFCOL
كليةالفارابيلطبالأسنانوالتمريضبكالوريوس;Alfarabi Colleges;ALFCOL
كليةالمعرفةللعلوموالتقنية;Almaarefa College For Science & Technology;ALMCOLFORSCITEC
كليةالمعرفةللعلوموالتقنيةبكالوريوس;Almaarefa College For Science & Technology;ALMCOLFORSCITEC
كلياتالشرقالعربيللدراساتالعليا;Arab East College;ARAEASCOL
الجامعةالعربيةالأهلية;Arabic Open University;ARAOPEUNI
الجامعةالعربيةالمفتوحة;Arabic Open University;ARAOPEUNI
الجامعةالعربيةالمفتوحةبكالوريوس;Arabic Open University;ARAOPEUNI
الجامعةالعربيةالمفتوحةدراساتعليا;Arabic Open University;ARAOPEUNI
كليةالباحةالأهليةللعلوم;Baha Private College of Sciences;BAHPRICOLSCI
كليةالباحةالأهليةللعلومبكالوريوس;Baha Private College of Sciences;BAHPRICOLSCI
كليةالبترجيللعلومالطبيةوالتكنولوجياالأهلية;Batterjee Medical College;BATMEDCOL
كليةالبترجيللعلومالطبيةوالتكنولوجياالأهليةبكالوريوس;Batterjee Medical College;BATMEDCOL
كلياتبريدةالأهلية;Buraydah Colleges;BURCOL
كلياتبريدةالأهليةبكالوريوس;Buraydah Colleges;BURCOL
جامعةدارالعلومالأهليةدراساتعليا;Dar Al Uloom University;DARALULOUNI
جامعةدارالعلومالأهلية;Dar Al Uloom University;DARALULOUNI
جامعةدارالعلومالأهليةبكالوريوس;Dar Al Uloom University;DARALULOUNI
جامعةدارالحكمة;Dar Al-hekma College;DARALHEKCOL
جامعةدارالحكمةبكالوريوس;Dar Al-hekma College;DARALHEKCOL
جامعةدارالحكمةدراساتعليا;Dar Al-hekma College;DARALHEKCOL
كليةدارالحكمة;Dar Al-hekma College;DARALHEKCOL
كليةالدكتورسليمانفقيهللتمريضوالعلومالطبيةبكالوريوس;Dr. Soliman Fakeeh College of Medical Sciences;DRSOLFAKCOLMEDSCI
كليةالدكتورسليمانفقيهللعلومالطبية;Dr. Soliman Fakeeh College of Medical Sciences;DRSOLFAKCOLMEDSCI
جامعةعفت;Effat University;EFFUNI
جامعةعفتبكالوريوس;Effat University;EFFUNI
جامعةعفتدراساتعليا;Effat University;EFFUNI
جامعةفهدبنسلطانالأهلية;Fahad Bin Sultan University;FAHBINSULUNI
جامعةفهدبنسلطانبكالوريوس;Fahad Bin Sultan University;FAHBINSULUNI
جامعةفهدبنسلطاندراساتعليا;Fahad Bin Sultan University;FAHBINSULUNI
جامعةجازان;Gazan University;GAZUNI
جامعةجازانبكالوريوس;Gazan University;GAZUNI
جامعةجازاندبلوممتوسط;Gazan University;GAZUNI
الإجماليالعام;General Total;GENTOT
كليةابنرشدللعلومالإدارية;Ibn Rushd College of Administrative Sciences;IBNRUSCOLADMSCI
كليةابنرشدللعلومالإداريةبكالوريوس;Ibn Rushd College of Administrative Sciences;IBNRUSCOLADMSCI
كليةابنرشدللعلومالإداريةدراساتعليا;Ibn Rushd College of Administrative Sciences;IBNRUSCOLADMSCI
كليةالأميرسلطانللسياحةوالإدارةبأبها;Ibn Rushd College of Administrative Sciences;IBNRUSCOLADMSCI
كليةابنسيناالأهليةللعلومالطبية;Ibn Sina National College For Medical Studies;IBNSINNATCOLFORMEDSTU
كليةابنسيناالأهليةللعلومالطبيةبكالوريوس;Ibn Sina Private College of Medical Sciences;IBNSINPRICOLMEDSCI
كليةالأميرسلطانللسياحةوالإدارةبجدة;Ibn Sina Private College of Medical Sciences;IBNSINPRICOLMEDSCI
جامعةالأماممحمدبنسعودالإسلامية;Imam Muhammad Ibn Saud Islamic University;IMAMUHIBNSAUISLUNI
جامعةالإماممحمدبنسعودالإسلامية;Imam Muhammad Ibn Saud Islamic University;IMAMUHIBNSAUISLUNI
جامعةالإماممحمدبنسعودالإسلاميةبكالوريوس;Imam Muhammad Ibn Saud Islamic University;IMAMUHIBNSAUISLUNI
جامعةالإماممحمدبنسعودالإسلاميةدبلوممتوسط;Imam Muhammad Ibn Saud Islamic University;IMAMUHIBNSAUISLUNI
جامعةالاماممحمدبنسعودالاسلامية;Imam Muhammad Ibn Saud Islamic University;IMAMUHIBNSAUISLUNI
كليةالعنايةالطبية;Inaya Medical College;INAMEDCOL
كليةالعنايةالطبيةالأهليةبكالوريوس;Inaya Medical College;INAMEDCOL
معهدالإدارةالعامة;Institute of Public Administration;INSPUBADM
معهدالإدارةالعامةدبلومالمتوسط;Institute of Public Administration;INSPUBADM
معهدالإدارةالعامةدراساتعليا;Institute of Public Administration;INSPUBADM
معهدالإدراةالعامة;Institute of Public Administration;INSPUBADM
الجامعةالإسلامية;Islamic University In Madinah;ISLUNIINMAD
الجامعةالإسلاميةبكالوريوس;Islamic University In Madinah;ISLUNIINMAD
الجامعةالإسلاميةدبلوممتوسط;Islamic University In Madinah;ISLUNIINMAD
الجامعةالإسلاميةدراساتعليا;Islamic University In Madinah;ISLUNIINMAD
كليةالجبيلالصناعية;Jubail Industrial College;JUBINDCOL
كليةالجبيلالصناعيةبكالوريوس;Jubail Industrial College;JUBINDCOL
كليةالجبيلالصناعيةدبلوممتوسط;Jubail Industrial College;JUBINDCOL
معهدالجبيلالتقني;Jubail Technical Institute;JUBTECINS
معهدالجبيلالتقنيدبلوممتوسط;Jubail Technical Institute;JUBTECINS
الكليةالجامعيةبالجبيلبكالوريوس;Jubail University College;JUBUNICOL
كليةالجبيلالجامعية;Jubail University College;JUBUNICOL
كيلةالجبيلالجامعية;Jubail University College;JUBUNICOL
جامعةالخرج;Kharj University;KHAUNI
جامعةالملكعبدالعزيز;King Abdulaziz University;KINABDUNI
جامعةالملكعبدالعزيزبكالوريوس;King Abdulaziz University;KINABDUNI
جامعةالملكعبدالعزيزدبلوممتوسط;King Abdulaziz University;KINABDUNI
جامعةالملكعبدالعزيزدراساتعليا;King Abdulaziz University;KINABDUNI
جامعةالملكفهدللبترولوالمعادن;King Fahd University of Petroleum And Minerals;KINFAHUNIPETANDMIN
جامعةالملكفهدللبترولوالمعادنبكالوريوس;King Fahd University of Petroleum And Minerals;KINFAHUNIPETANDMIN
جامعةالملكفهدللبترولوالمعادندبلوممتوسط;King Fahd University of Petroleum And Minerals;KINFAHUNIPETANDMIN
جامعةالملكفهدللبترولوالمعادندراساتعليا;King Fahd University of Petroleum And Minerals;KINFAHUNIPETANDMIN
جامعةالملكفيصل;King Faisal University;KINFAIUNI
جامعةالملكفيصلبكالوريوس;King Faisal University;KINFAIUNI
جامعةالملكفيصلدبلوممتوسط;King Faisal University;KINFAIUNI
جامعةالملكفيصلدراساتعليا;King Faisal University;KINFAIUNI
جامعةالملكخالد;King Khalid University;KINKHAUNI
جامعةالملكخالدبكالوريوس;King Khalid University;KINKHAUNI
جامعةالملكخالددبلوممتوسط;King Khalid University;KINKHAUNI
جامعةالملكخالددراساتعليا;King Khalid University;KINKHAUNI
جامعةالملكسعودبنعبدالعزيزللعلومالصحية;King Saud Bin Abdulaziz University For Health Sciences;KINSAUBINABDUNIFORHEASCI
جامعةالملكسعودبنعبدالعزيزللعلومالصحيةدراساتعليا;King Saud Bin Abdulaziz University For Health Sciences;KINSAUBINABDUNIFORHEASCI
