ARAB;EN
الإجمالي الكلي;Total
إجمالي مؤسسات التعليم العالي الأخرى;Total other institutions of higher education
إجمالي الجامعات الحكومية;Total public universities
المؤسسة العامة للتدريب التقني والمهني;Technical and Vocational Training Corporation
إجمالي مؤسسات التعليم العالي في المملكة;Total higher education institutions in the Kingdom
إجمالي الجامعات والكليات الأهلية;Total private universities and colleges
جامعة الباحة ;Al Baha University
جامعة الباحة بكالوريوس;Al Baha University
جامعة الباحة دبلوم متوسط;Al Baha University
جامعة الباحة دراسات عليا;Al Baha University
جامعة الفيصل;Al Faisal University
جامعة الفيصل بكالوريوس;Al Faisal University
جامعة الفيصل دراسات عليا;Al Faisal University
جامعة الجوف ;Al Jawf University
جامعة الجوف بكالوريوس;Al Jawf University
جامعة الجوف دبلوم متوسط;Al Jawf University
جامعة المجمعة ;Al Majma'ah University
جامعة المجمعة بكالوريوس;Al Majma'ah University
جامعة المجمعة دبلوم متوسط;Al Majma'ah University
 جامعة اليمامة ;Al Yamamah University
جامعة اليمامة بكالوريوس;Al Yamamah University
جامعة اليمامة دراسات عليا;Al Yamamah University
كليات الغد الدولية للعلوم الصحية ;Al-Ghad International Colleges for Health Sciences
كليات الغد الدولية للعلوم الطبية التطبيقية بكالوريوس;Al-Ghad International Colleges for Health Sciences
كلية الريادة للعلوم الصحية الأهلية ;AL-Riyada College for Health Sciences
كلية الريادة للعلوم الصحية الأهلية بكالوريوس;AL-Riyada College for Health Sciences
كلية الفارابي لطب الأسنان والتمريض;Alfarabi Colleges
كلية الفارابي لطب الأسنان والتمريض بكالوريوس;Alfarabi Colleges
كلية المعرفة للعلوم والتقنية ;Almaarefa College for Science & Technology
كلية المعرفة للعلوم والتقنية بكالوريوس;Almaarefa College for Science & Technology
كليات الشرق العربي للدراسات العليا;Arab East College
الجامعة العربية الأهلية ;Arabic Open University
الجامعة العربية المفتوحة;Arabic Open University
الجامعة العربية المفتوحة بكالوريوس;Arabic Open University
الجامعة العربية المفتوحة دراسات عليا;Arabic Open University
كلية الباحة الأهلية للعلوم ;Baha Private College of Sciences
كلية الباحة الأهلية للعلوم بكالوريوس;Baha Private College of Sciences
كلية البترجي للعلوم الطبية والتكنولوجيا الأهلية ;Batterjee Medical College
كلية البترجي للعلوم الطبية والتكنولوجيا الأهلية بكالوريوس;Batterjee Medical College
كليات بريدة الأهلية ;Buraydah Colleges
كليات بريدة الأهلية بكالوريوس;Buraydah Colleges
جامعة دار  العلوم الأهلية دراسات عليا;Dar Al Uloom University
جامعة دار العلوم الأهلية ;Dar Al Uloom University
جامعة دار العلوم الأهلية بكالوريوس;Dar Al Uloom University
جامعة دار الحكمة ;Dar Al-Hekma College
جامعة دار الحكمة بكالوريوس;Dar Al-Hekma College
جامعة دار الحكمة دراسات عليا;Dar Al-Hekma College
كلية دار الحكمة;Dar Al-Hekma College
كلية الدكتور سليمان فقيه للتمريض والعلوم الطبية بكالوريوس;Dr. Soliman Fakeeh College of Medical Sciences
كلية الدكتور سليمان فقيه للعلوم الطبية;Dr. Soliman Fakeeh College of Medical Sciences
جامعة عفت ;Effat University
جامعة عفت بكالوريوس;Effat University
جامعة عفت دراسات عليا;Effat University
جامعة فهد بن سلطان الأهلية ;Fahad Bin Sultan University
جامعة فهد بن سلطان بكالوريوس;Fahad Bin Sultan University
جامعة فهد بن سلطان دراسات عليا;Fahad Bin Sultan University
جامعة جازان ;Gazan University
جامعة جازان بكالوريوس;Gazan University
جامعة جازان دبلوم متوسط;Gazan University
الإجمالي العام ;General Total
كلية ابن رشد للعلوم الإدارية;IBN Rushd College of Administrative Sciences
كلية ابن رشد للعلوم الإدارية بكالوريوس;IBN Rushd College of Administrative Sciences
كلية ابن رشد للعلوم الإدارية دراسات عليا;IBN Rushd College of Administrative Sciences
كلية الأمير سلطان للسياحة والإدارة بأبها;IBN Rushd College of Administrative Sciences
كلية ابن سينا الأهلية للعلوم الطبية ;Ibn Sina National College for Medical Studies
كلية ابن سينا الأهلية للعلوم الطبية بكالوريوس;IBN Sina Private College of Medical Sciences
كلية الأمير سلطان للسياحة والإدارة بجدة ;IBN Sina Private College of Medical Sciences
جامعة الأمام محمد بن سعود الإسلامية;Imam Muhammad Ibn Saud Islamic University
جامعة الإمام محمد بن سعود الإسلامية ;Imam Muhammad Ibn Saud Islamic University
جامعة الإمام محمد بن سعود الإسلامية بكالوريوس;Imam Muhammad Ibn Saud Islamic University
جامعة الإمام محمد بن سعود الإسلامية دبلوم متوسط;Imam Muhammad Ibn Saud Islamic University
جامعة الامام محمد بن سعود الاسلامية;Imam Muhammad Ibn Saud Islamic University
كلية العناية الطبية;INAYA Medical College
كلية العناية الطبية الأهلية بكالوريوس;INAYA Medical College
معهد الإدارة العامة ;Institute of Public Administration
معهد الإدارة العامة دبلوم المتوسط;Institute of Public Administration
معهد الإدارة العامة دراسات عليا;Institute of Public Administration
معهد الإدراة العامة;Institute of Public Administration
الجامعة الإسلامية ;Islamic University in Madinah
الجامعة الإسلامية بكالوريوس;Islamic University in Madinah
الجامعة الإسلامية دبلوم متوسط;Islamic University in Madinah
الجامعة الإسلامية دراسات عليا;Islamic University in Madinah
كلية الجبيل الصناعية;Jubail Industrial College
كلية الجبيل الصناعية بكالوريوس;Jubail Industrial College
كلية الجبيل الصناعية دبلوم متوسط;Jubail Industrial College
معهد الجبيل التقني ;Jubail Technical Institute
معهد الجبيل التقني دبلوم متوسط;Jubail Technical Institute
الكلية الجامعية بالجبيل بكالوريوس;Jubail University College
كلية الجبيل الجامعية ;Jubail University College
كيلة الجبيل الجامعية ;Jubail University College
جامعة الخرج ;Kharj University
جامعة الملك عبد العزيز ;King Abdulaziz University
جامعة الملك عبد العزيز بكالوريوس;King Abdulaziz University
جامعة الملك عبد العزيز دبلوم متوسط;King Abdulaziz University
جامعة الملك عبد العزيز دراسات عليا;King Abdulaziz University
جامعة الملك فهد للبترول والمعادن ;King Fahd University of Petroleum and Minerals
جامعة الملك فهد للبترول والمعادن بكالوريوس;King Fahd University of Petroleum and Minerals
جامعة الملك فهد للبترول والمعادن دبلوم متوسط;King Fahd University of Petroleum and Minerals
جامعة الملك فهد للبترول والمعادن دراسات عليا;King Fahd University of Petroleum and Minerals
جامعة الملك فيصل;King Faisal University
