IN;IT
جامعة أم القرى ;PUB
الجامعة الإسلامية ;PUB
جامعة الإمام محمد بن سعود الإسلامية ;PUB
جامعة الملك سعود ;PUB
جامعة الملك عبد العزيز ;PUB
جامعة الملك فهد للبترول والمعادن ;PUB
جامعة الملك فيصل ;PUB
جامعة الملك خالد ;PUB
جامعة القصيم ;PUB
جامعة طيبة ;PUB
جامعة الطائف ;PUB
جامعة الملك سعود بن عبد العزيز للعلوم الصحية ;PUB
جامعة حائل ;PUB
جامعة تبوك ;PUB
جامعة الباحة ;PUB
جامعة نجران ;PUB
جامعة الأميرة نورة بنت عبد الرحمن ;PUB
جامعة الدمام ;PUB
الجامعة السعودية الإلكترونية ;PUB
إجمالي الجامعات الحكومية;PUB
جامعة الأمير سلطان ;PRI
الجامعة العربية المفتوحة ;PRI
جامعة الأمير محمد بن فهد ;PRI
جامعة الفيصل ;PRI
جامعة اليمامة ;PRI
جامعة عفت ;PRI
جامعة دار  العلوم الأهلية ;PRI
جامعة فهد بن سلطان ;PRI
كلية دار الحكمة ;PRI
جامعة الأعمال والتكنولوجيا الأهلية ;PRI
كليات الرياض لطب الأسنان والصيدلة ;PRI
كلية الأمير سلطان للسياحة والإدارة بجدة ;PRI
كليات الشرق العربي للدراسات العليا;PRI
إجمالي الجامعات والكليات الأهلية;PRI
معهد الإدارة العامة ;PRI
كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران ;OI
إجمالي مؤسسات التعليم العالي الأخرى;OI
إجمالي مؤسسات التعليم العالي في المملكة;ALL
