;;;;;;;;;سعودي;سعودي;سعودي;غير سعودي;غير سعودي;غير سعودي;المجموع;المجموع;المجموع;NA
YR;SS;DS;IT;IN;CO;SE;SP;SSYS;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;GE
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;جملة;جملة;دبلومعالٍ;31;20;51;0;0;0;31;20;51;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;جملة;جملة;ماجستير;82;73;155;8;1;9;90;74;164;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;جملة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;جملة;جملة;دكتوراه;28;4;32;1;1;2;29;5;34;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;جملة;جملة;جملة;141;97;238;9;2;11;150;99;249;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;الشريعة;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;الشريعة;جملة;ماجستير;28;23;51;6;1;7;34;24;58;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;الشريعة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;الشريعة;جملة;دكتوراه;19;2;21;1;1;2;20;3;23;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;الشريعة;جملة;جملة;47;25;72;7;2;9;54;27;81;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;الشريعة;فقه;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;الشريعة;فقه;ماجستير;14;6;20;4;0;4;18;6;24;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;الشريعة;فقه;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;الشريعة;فقه;دكتوراه;16;2;18;0;1;1;16;3;19;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;الشريعة;فقه;جملة;30;8;38;4;1;5;34;9;43;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;الشريعة;أصول فقه;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;الشريعة;أصول فقه;ماجستير;14;17;31;2;1;3;16;18;34;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;الشريعة;أصول فقه;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;الشريعة;أصول فقه;دكتوراه;3;0;3;1;0;1;4;0;4;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;الشريعة;أصول فقه;جملة;17;17;34;3;1;4;20;18;38;
