ARAB;ENG
جامعة أم القرى;Public Universities
الجامعة الإسلامية ;Public Universities
جامعة الأمام محمد بن سعود الإسلامية;Public Universities
جامعة الملك سعود;Public Universities
جامعة الملك عبد العزيز ;Public Universities
جامعة الملك فهد للبترول والمعادن ;Public Universities
جامعة الملك فيصل;Public Universities
جامعة الملك خالد ;Public Universities
جامعة القصيم ;Public Universities
جامعة طيبة ;Public Universities
جامعة الطائف ;Public Universities
جامعة الملك سعود بن عبد العزيز للعلوم الصحية ;Public Universities
جامعة جازان ;Public Universities
جامعة حائل ;Public Universities
جامعة الجوف ;Public Universities
جامعة تبوك ;Public Universities
جامعة الباحة ;Public Universities
جامعة نجران ;Public Universities
جامعة الأميرة نورة بنت عبد الرحمن ;Public Universities
جامعة الحدود الشمالية ;Public Universities
 جامعة شقراء;Public Universities
جامعة سلمان بن عبدالعزيز;Public Universities
جامعة الدمام ;Public Universities
جامعة المجمعة ;Public Universities
الجامعة السعودية الإلكترونية;Public Universities
إجمالي الجامعات الحكومية;Public Universities
جامعة الأمير سلطان;Private Universities and Colleges
الجامعة العربية الأهلية ;Private Universities and Colleges
جامعة الأمير محمد بن فهد ;Private Universities and Colleges
جامعة الفيصل;Private Universities and Colleges
 جامعة اليمامة ;Private Universities and Colleges
جامعة عفت ;Private Universities and Colleges
جامعة دار العلوم الأهلية ;Private Universities and Colleges
جامعة فهد بن سلطان الأهلية ;Private Universities and Colleges
كليات القصيم الأهلية;Private Universities and Colleges
كلية دار الحكمة;Private Universities and Colleges
كلية الأمير سلطان للسياحة والإدارة بأبها;Private Universities and Colleges
كلية الباحة الأهلية للعلوم ;Private Universities and Colleges
جامعة الأعمال والتكنولوجيا الأهلية;Private Universities and Colleges
كلية الدكتور سليمان فقيه للعلوم الطبية;Private Universities and Colleges
كليات الرياض لطب الأسنان والصيدلة ;Private Universities and Colleges
كلية ابن سينا الأهلية للعلوم الطبية ;Private Universities and Colleges
كلية الأمير سلطان للسياحة والإدارة بجدة ;Private Universities and Colleges
كلية البترجي للعلوم الطبية والتكنولوجيا الأهلية ;Private Universities and Colleges
كلية سعد للتمريض والعلوم الصحية الأهلية ;Private Universities and Colleges
كلية الريادة للعلوم الصحية الأهلية ;Private Universities and Colleges
كلية المعرفة للعلوم والتقنية ;Private Universities and Colleges
كليات بريدة الأهلية ;Private Universities and Colleges
كلية محمد المانع الأهلية للعلوم الطبية;Private Universities and Colleges
كلية الفارابي لطب الأسنان والتمريض;Private Universities and Colleges
كليات الغد الدولية للعلوم الصحية ;Private Universities and Colleges
كليات سليمان الراجحي الأهلية;Private Universities and Colleges
كليات الشرق العربي للدراسات العليا;Private Universities and Colleges
كلية العناية الطبية;Private Universities and Colleges
إجمالي الجامعات والكليات الأهلية;Private Universities and Colleges
كلية الجبيل الصناعية;Other Institutions
كيلة الجبيل الجامعية ;Other Institutions
كلية ينبع الصناعية ;Other Institutions
كلية ينبع الجامعية ;Other Institutions
معهد الإدارة العامة ;Other Institutions
كلية الأمير سلطان للعلوم الصحية بالظهران;Other Institutions
